,Nomads,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_2_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_2_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_2_Clustering,Tribe_0_Trades,Tribe_1_Trades,Tribe_2_Trades
56,11,0.0,12.803571428571429,3,6,2,3.0556607614345905,6.202601025416129,1.151033625478424,0.0,0.002777777777777778,0.0,10.339285714285714,12.598214285714286,12.169642857142858
57,11,0.0,12.578947368421053,3,6,2,2.7556607614345907,5.60260102541613,0.951033625478424,0.0,0.002777777777777778,0.0,10.157894736842104,12.37719298245614,11.956140350877194
58,10,0.0,12.362068965517242,3,6,1,2.455660761434591,5.002601025416129,0.7987742054643244,0.0,0.0,0.0,9.982758620689655,12.163793103448276,11.75
59,9,0.0,12.152542372881356,2,6,1,2.218961985347914,4.402601025416129,0.6987742054643244,0.0,0.0,0.0,9.813559322033898,11.957627118644067,11.55084745762712
60,9,0.0,11.95,2,6,1,2.0189619853479144,3.802601025416129,0.5987742054643245,0.0,0.003333333333333333,0.0,9.65,11.758333333333333,11.358333333333333
61,9,0.0,11.754098360655737,2,6,1,1.8189619853479142,3.202601025416129,0.4987742054643245,0.0,0.0,0.0,9.491803278688524,11.565573770491802,11.172131147540984
62,7,0.0,11.564516129032258,2,4,1,1.618961985347914,2.6583096365904617,0.3987742054643245,0.0,0.0,0.0,9.338709677419354,11.379032258064516,10.991935483870968
63,6,0.0,11.380952380952381,2,3,1,1.4189619853479138,2.3418679325547185,0.29877420546432454,0.0,0.0,0.0,9.19047619047619,11.198412698412698,10.817460317460318
64,6,0.0,11.203125,2,3,1,1.218961985347914,2.0418679325547187,0.19877420546432453,0.0,0.0,0.0,9.046875,11.0234375,10.6484375
65,5,0.0,11.03076923076923,1,3,1,1.1168177241929693,1.7418679325547184,0.09877420546432453,0.0,0.0,0.0,8.907692307692308,10.853846153846154,10.484615384615385
66,4,0.0,10.863636363636363,1,3,0,1.0168177241929692,1.4418679325547186,0.0,0.0,0.0,0.0,8.772727272727273,10.68939393939394,10.325757575757576
67,3,0.0,10.701492537313433,1,2,0,0.9168177241929693,1.2294772765547206,0.0,0.0,0.0,0.0,8.64179104477612,10.529850746268657,10.171641791044776
