,Nomads,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_3_Nomads,Tribe_2_Spice,Tribe_3_Spice,Tribe_2_Clustering,Tribe_3_Clustering,Tribe_2_Trades,Tribe_3_Trades,Tribe_4_Nomads,Tribe_5_Nomads,Tribe_4_Spice,Tribe_5_Spice,Tribe_4_Clustering,Tribe_5_Clustering,Tribe_4_Trades,Tribe_5_Trades,Tribe_6_Nomads,Tribe_7_Nomads,Tribe_6_Spice,Tribe_7_Spice,Tribe_6_Clustering,Tribe_7_Clustering,Tribe_6_Trades,Tribe_7_Trades,Tribe_8_Nomads,Tribe_9_Nomads,Tribe_8_Spice,Tribe_9_Spice,Tribe_8_Clustering,Tribe_9_Clustering,Tribe_8_Trades,Tribe_9_Trades
39,192,100.51282051282051,22.012820512820515,106,86,490.7454758684687,260.5305096301164,0.010049715078761613,0.007242840085308569,73.0,51.1025641025641,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,192,99.45,22.0875,106,86,502.9072506333787,261.49123090768916,0.010981016075246632,0.0069950112120062274,72.5625,50.85,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,191,98.5,22.097560975609756,105,86,492.30073344941763,260.5452334554661,0.011145772225114042,0.007422470876238947,72.08536585365853,50.670731707317074,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,188,97.4047619047619,22.071428571428573,102,86,488.51661709921206,259.43817027920096,0.011363874793948493,0.0078081839321516985,71.58333333333333,50.273809523809526,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,187,96.4186046511628,22.046511627906977,101,86,470.94591756837485,247.73262203391982,0.012364737289961583,0.008460986227686108,70.94186046511628,49.75581395348837,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,186,95.45454545454545,22.125,100,86,454.0292392838255,241.80790973136453,0.013827720243287956,0.008492969667161914,70.375,49.30681818181818,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,184,94.47777777777777,22.288888888888888,100,84,449.8191689332025,223.8628540099772,0.01417836796444693,0.008674117118657954,69.91111111111111,48.93333333333333,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,183,93.33695652173913,22.282608695652176,100,83,440.1026314452143,224.16866182171893,0.013608798086405496,0.008625851867101254,69.29347826086956,48.48913043478261,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,180,92.1063829787234,22.48936170212766,97,83,433.49928750800433,215.3505164797642,0.014860322324509295,0.00899673551350348,68.70212765957447,48.07446808510638,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,177,90.88541666666667,22.697916666666668,95,82,428.83559646913506,208.945448680821,0.01388518727127896,0.00869747359652642,67.98958333333333,47.625,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
