,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_2_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_2_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_2_Clustering,Tribe_0_Trades,Tribe_1_Trades,Tribe_2_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator
2,331,21.698640483383684,705.5,807.5,120,109,102,1621.8680385931652,1232.584722764303,1601.3896238247678,30.0,27.25,6.0,33.875,30.45,28.025,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
3,303,13.707072135785008,885.0,1025.0,114,94,95,1559.3301171676221,1577.1707219336151,2293.070388540969,11.4,23.5,6.785714285714286,37.25,28.816666666666666,27.7,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
4,314,17.130573248407643,1022.5,1179.0,100,104,110,1917.9692180589245,1967.6145509745065,2488.2548967065086,16.666666666666668,26.0,9.166666666666666,39.25,32.25,32.6375,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
5,324,16.580913188320597,1139.0,1282.5,100,114,110,2028.6290631968166,2468.9120862564637,2760.129189192098,14.285714285714286,22.8,12.222222222222221,43.15,37.15,37.12,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
6,349,31.601098376313274,1234.5,1414.5,89,131,129,2019.0624159540657,2799.7107863516803,3385.35364817073,22.25,43.666666666666664,25.8,46.516666666666666,48.63333333333333,41.13333333333333,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
7,382,44.947083021690354,1336.0,1518.0,81,144,157,1759.244639824955,3033.1350761561703,4261.107174537509,40.5,72.0,22.428571428571427,50.371428571428574,59.05,47.214285714285715,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
8,405,33.61069958847736,1448.5,1696.0,76,161,168,1775.3317225698838,3502.8165008780356,4559.5249579112005,19.0,53.666666666666664,21.0,50.13125,69.10625,54.21875,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
9,439,71.23728170083523,1509.5,1794.5,61,185,193,1482.4104588989662,3989.782224673437,5145.170644901639,20.333333333333332,61.666666666666664,96.5,48.87222222222222,81.67222222222222,62.611111111111114,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
10,493,95.06964164976335,1563.0,1843.0,67,211,215,1605.4921281140303,4462.924957607118,5511.027687173985,22.333333333333332,105.5,107.5,47.38,96.585,74.12,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
0,738,61.5,0.0,0.0,246,246,246,738.0,738.0,738.0,61.5,61.5,61.5,0.0,0.0,0.0,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
