,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_2_Spice,Tribe_2_Clustering,Tribe_2_Trades,Tribe_3_Nomads,Tribe_3_Spice,Tribe_3_Clustering,Tribe_3_Trades
3,144,4.376801378446116,150.0,66.5,65,79,376.9537888454463,461.08185636073597,4.642857142857143,4.157894736842105,33.6,36.3,ofat_results_sophie_coop_issue,100,100,2,510,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
4,121,3.6739576213260423,154.0,67.5,54,67,391.4043312245707,403.4821562645142,3.857142857142857,3.526315789473684,29.4875,33.75,ofat_results_sophie_coop_issue,100,100,2,510,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
5,99,3.960514233241506,167.5,73.0,43,56,341.4325732080119,402.86393922384883,3.909090909090909,4.0,26.76,30.63,ofat_results_sophie_coop_issue,100,100,2,510,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
6,92,8.729001976284584,171.0,75.0,41,51,332.45927570092766,382.25036424282,3.727272727272727,12.75,24.0,27.308333333333334,ofat_results_sophie_coop_issue,100,100,2,510,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
7,81,7.0092592592592595,175.0,77.0,39,42,356.5411920650278,323.9173751701143,3.25,10.5,21.77857142857143,24.84285714285714,ofat_results_sophie_coop_issue,100,100,2,510,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
8,74,9.358108108108109,177.0,77.5,33,41,329.4997622741023,325.08691691993835,8.25,10.25,20.34375,23.1625,ofat_results_sophie_coop_issue,100,100,2,510,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
9,67,8.39179104477612,178.5,78.5,32,35,335.6536703794375,307.67050419298386,8.0,8.75,19.433333333333334,21.83888888888889,ofat_results_sophie_coop_issue,100,100,2,510,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
10,58,3.1763136288998357,183.5,80.5,27,31,355.6523713096067,285.55012126493574,3.857142857142857,2.5833333333333335,18.125,20.785,ofat_results_sophie_coop_issue,100,100,2,510,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
0,520,65.0,0.0,0.0,260,260,780.0,780.0,65.0,65.0,0.0,0.0,ofat_results_sophie_coop_issue,100,100,2,520,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
1,307,8.079033087605005,112.5,47.0,154,153,508.1358969651718,465.23777630801163,8.105263157894736,8.052631578947368,37.2,39.5,ofat_results_sophie_coop_issue,100,100,2,520,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
2,175,8.371240601503759,137.0,60.5,95,80,388.88822386873267,294.9376859284753,11.875,4.2105263157894735,32.325,40.2,ofat_results_sophie_coop_issue,100,100,2,520,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
3,132,5.553768201495474,147.0,62.5,73,59,255.46619000236188,263.1274710614004,6.636363636363637,4.214285714285714,30.616666666666667,35.21666666666667,ofat_results_sophie_coop_issue,100,100,2,520,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
4,98,5.555555555555555,149.5,63.0,56,42,182.40435212550761,224.26577814752187,6.222222222222222,4.666666666666667,28.1375,30.2375,ofat_results_sophie_coop_issue,100,100,2,520,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
5,75,8.445925925925925,155.5,64.0,37,38,127.23319105719973,221.57676795041462,4.111111111111111,12.666666666666666,24.56,25.9,ofat_results_sophie_coop_issue,100,100,2,520,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
6,59,4.155475880052151,157.5,64.0,25,34,98.82620469252358,195.71195367659178,6.25,2.6153846153846154,21.541666666666668,23.025,ofat_results_sophie_coop_issue,100,100,2,520,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
7,48,5.7578125,159.0,64.5,17,31,82.2349945487182,170.97925551398055,2.125,7.75,19.0,20.857142857142858,ofat_results_sophie_coop_issue,100,100,2,520,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
8,40,5.733333333333333,159.5,65.0,16,24,62.59613065633046,159.65380227082545,5.333333333333333,6.0,16.93125,19.2,ofat_results_sophie_coop_issue,100,100,2,520,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
9,34,4.642156862745098,159.5,65.0,14,20,54.284919683129296,148.40538257927844,1.75,6.666666666666667,15.338888888888889,17.766666666666666,ofat_results_sophie_coop_issue,100,100,2,520,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
