,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_2_Spice,Tribe_2_Clustering,Tribe_2_Trades,Tribe_3_Nomads,Tribe_3_Spice,Tribe_3_Clustering,Tribe_3_Trades,Tribe_4_Nomads,Tribe_4_Spice,Tribe_4_Clustering,Tribe_4_Trades,Tribe_5_Nomads,Tribe_5_Spice,Tribe_5_Clustering,Tribe_5_Trades,Tribe_6_Nomads,Tribe_6_Spice,Tribe_6_Clustering,Tribe_6_Trades,Tribe_7_Nomads,Tribe_7_Spice,Tribe_7_Clustering,Tribe_7_Trades,Tribe_8_Nomads,Tribe_8_Spice,Tribe_8_Clustering,Tribe_8_Trades
11,183,0.15353089533417402,0.05765124555160142,0.9423487544483986,63,53,564.692123791822,277.0669998970883,0.07692307692307691,0.33333333333333337,11.35,12.895454545454545,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,67.0,504.4896931708355,0.08333333333333333,12.777272727272727,,,,,,,,,,,,,,,,,,,,,,,,
12,176,0.1922348484848485,0.057891109579600274,0.9421088904203997,61,50,580.7358805768253,276.51251559543806,0.08333333333333333,0.25,10.695833333333333,12.125,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,65.0,497.0768018669498,0.25,12.416666666666666,,,,,,,,,,,,,,,,,,,,,,,,
13,168,0.19226190476190474,0.05659121171770972,0.9434087882822902,60,44,559.0099787473541,275.9117677384807,0.125,0.2,10.126923076923077,11.396153846153846,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,64.0,506.83678468518434,0.25,12.157692307692308,,,,,,,,,,,,,,,,,,,,,,,,
14,160,0.19763392857142856,0.056099151989562945,0.943900848010437,60,39,551.5223050241324,273.9797010236001,0.14285714285714285,0.19999999999999998,9.760714285714286,10.70357142857143,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,61.0,485.2796863226707,0.25,11.778571428571428,,,,,,,,,,,,,,,,,,,,,,,,
15,150,0.23866666666666667,0.054735547355473556,0.9452644526445264,59,34,545.1555758710166,277.74056017398505,0.25,0.19999999999999998,9.643333333333333,10.12,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,57.0,466.3120000042607,0.25,11.503333333333334,,,,,,,,,,,,,,,,,,,,,,,,
16,146,0.30136986301369867,0.05178365937859609,0.9482163406214039,59,31,525.8458573815736,290.9842746967673,0.33333333333333337,0.33333333333333337,9.48125,9.66875,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,56.0,464.2267035848879,0.25,11.2625,,,,,,,,,,,,,,,,,,,,,,,,
17,143,0.30128205128205127,0.05125408942202835,0.9487459105779716,57,31,526.5597398522511,302.73332799528475,0.3333333333333333,0.33333333333333337,9.376470588235295,9.238235294117647,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,55.0,437.79148355879823,0.25,10.926470588235293,,,,,,,,,,,,,,,,,,,,,,,,
18,138,0.2713768115942029,0.04924044002095338,0.9507595599790466,54,31,519.423976756255,316.2779010001165,0.3333333333333333,0.2,9.080555555555556,8.855555555555556,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,53.0,427.0324164009151,0.25,10.627777777777778,,,,,,,,,,,,,,,,,,,,,,,,
19,136,0.34509803921568627,0.04854368932038835,0.9514563106796117,52,31,518.1681888790907,325.13029186801054,0.5,0.33333333333333337,8.868421052631579,8.471052631578948,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,53.0,405.6759256325234,0.19999999999999998,10.326315789473684,,,,,,,,,,,,,,,,,,,,,,,,
20,133,0.3471177944862155,0.04819888381532217,0.9518011161846778,51,32,509.07908273403956,344.9741690523742,0.5,0.3333333333333333,8.5975,8.205,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,50.0,386.28772671150836,0.2,9.96,,,,,,,,,,,,,,,,,,,,,,,,
