,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_3_Nomads,Tribe_2_Spice,Tribe_3_Spice,Tribe_2_Clustering,Tribe_3_Clustering,Tribe_2_Trades,Tribe_3_Trades,Tribe_4_Nomads,Tribe_5_Nomads,Tribe_4_Spice,Tribe_5_Spice,Tribe_4_Clustering,Tribe_5_Clustering,Tribe_4_Trades,Tribe_5_Trades,Tribe_6_Nomads,Tribe_7_Nomads,Tribe_6_Spice,Tribe_7_Spice,Tribe_6_Clustering,Tribe_7_Clustering,Tribe_6_Trades,Tribe_7_Trades,Tribe_8_Nomads,Tribe_9_Nomads,Tribe_8_Spice,Tribe_9_Spice,Tribe_8_Clustering,Tribe_9_Clustering,Tribe_8_Trades,Tribe_9_Trades
32,269,0.3513011152416357,294.578125,117.859375,120,149,218.99215403548664,431.2908681237391,0.16666666666666666,0.5,252.625,280.671875,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,260,0.2583333333333333,286.6363636363636,115.60606060606061,117,143,202.09446189988375,419.5630440632085,0.16666666666666666,0.3333333333333333,246.77272727272728,275.8636363636364,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,251,0.3539176626826029,279.04411764705884,113.13235294117646,110,141,185.85689942819627,402.0029014223792,0.16666666666666666,0.5,241.35294117647058,270.97058823529414,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,242,0.368595041322314,271.6142857142857,110.67142857142858,106,136,170.77417881879913,381.8349277582056,0.19999999999999998,0.5,235.84285714285716,265.8285714285714,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,232,0.3577586206896552,264.25,108.31944444444444,99,133,160.55305144787465,367.10192819588934,0.16666666666666666,0.5,230.625,260.47222222222223,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,221,0.35972850678733037,257.2972972972973,106.06756756756756,93,128,149.82551387454674,353.7143228804509,0.16666666666666666,0.5,225.48648648648648,255.35135135135135,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,211,0.4328593996840442,250.6315789473684,103.86842105263158,85,126,141.11380715628505,340.50127062311344,0.3333333333333333,0.5,220.67105263157896,250.3684210526316,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,202,0.43399339933993397,244.2948717948718,101.48717948717949,80,122,132.5124879560036,329.0213939526716,0.33333333333333337,0.5,216.1153846153846,245.44871794871796,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,193,0.43523316062176165,238.2125,99.075,75,118,125.71258002029836,316.913950016724,0.3333333333333333,0.5,211.7,240.6875,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,182,0.33333333333333337,232.4390243902439,96.76829268292683,70,112,118.33637754377408,306.3206062632387,0.3333333333333333,0.33333333333333337,207.4512195121951,235.9390243902439,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
