,Nomads,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades
49,20,0.0,76.36734693877551,0,20,0.0,25.034697214630803,0.0,0.04056404379933795,169.1326530612245,195.3265306122449
50,17,0.0,74.84,0,17,0.0,23.24464655199488,0.0,0.03321855162802908,165.75,191.48
51,17,0.0,73.37254901960785,0,17,0.0,21.544646551994873,0.0,0.03773441580021842,162.5,187.7450980392157
52,17,0.0,71.96153846153847,0,17,0.0,19.844646551994874,0.0,0.03663611279733503,159.375,184.21153846153845
53,15,0.0,70.60377358490567,0,15,0.0,18.217424716994557,0.0,0.053548718922597306,156.3679245283019,180.81132075471697
54,13,0.0,69.29629629629629,0,13,0.0,16.798830270365535,0.0,0.055619870325752725,153.47222222222223,177.5185185185185
55,13,0.0,68.03636363636363,0,13,0.0,15.498830270365534,0.0,0.03887680946504475,150.6818181818182,174.3181818181818
56,13,0.0,66.82142857142857,0,13,0.0,14.198830270365532,0.0,0.043261939124351875,147.99107142857142,171.20535714285714
57,13,0.0,65.64912280701755,0,13,0.0,12.898830270365533,0.0,0.02420851000113213,145.39473684210526,168.2280701754386
58,12,0.0,64.51724137931035,0,12,0.0,11.649659897671022,0.0,0.02948556926622729,142.88793103448276,165.3706896551724
59,11,0.0,63.42372881355932,0,11,0.0,10.546910021912208,0.0,0.02337452420385439,140.46610169491527,162.5677966101695
60,11,0.0,62.36666666666667,0,11,0.0,9.44691002191221,0.0,0.025101858925388333,138.125,159.85833333333332
61,11,0.0,61.34426229508197,0,11,0.0,8.34691002191221,0.0,0.012172573189522341,135.86065573770492,157.2377049180328
62,11,0.0,60.354838709677416,0,11,0.0,7.24691002191221,0.0,0.009466513878278583,133.66935483870967,154.70967741935485
63,11,0.0,59.3968253968254,0,11,0.0,6.146910021912209,0.0,0.01596985901798736,131.54761904761904,152.25396825396825
64,11,0.0,58.46875,0,11,0.0,5.046910021912209,0.0,0.019108387156515496,129.4921875,149.875
65,11,0.0,57.56923076923077,0,11,0.0,3.9469100219122093,0.0,0.01331168831168831,127.5,147.56923076923076
66,8,0.0,56.696969696969695,0,8,0.0,2.98231068874727,0.0,0.009126219825372367,125.56818181818181,145.33333333333334
67,6,0.0,55.850746268656714,0,6,0.0,2.2927282383197394,0.0,0.011799719887955182,123.69402985074628,143.17164179104478
68,4,0.0,55.029411764705884,0,4,0.0,1.799514748599169,0.0,0.008333333333333333,121.875,141.0735294117647
69,4,0.0,54.231884057971016,0,4,0.0,1.3995147485991688,0.0,0.008333333333333333,120.1086956521739,139.02898550724638
70,3,0.0,53.457142857142856,0,3,0.0,1.0615108595176757,0.0,0.011111111111111112,118.39285714285714,137.04285714285714
71,2,0.0,52.70422535211268,0,2,0.0,0.8298703993255709,0.0,0.016666666666666666,116.72535211267606,135.11267605633802
72,2,0.0,51.97222222222222,0,2,0.0,0.6298703993255709,0.0,0.016666666666666666,115.10416666666667,133.24305555555554
73,1,0.0,51.26027397260274,0,1,0.0,0.5298597778417174,0.0,0.0,113.52739726027397,131.41780821917808
74,1,0.0,50.567567567567565,0,1,0.0,0.42985977784171747,0.0,0.0,111.99324324324324,129.6418918918919
75,1,0.0,49.89333333333333,0,1,0.0,0.3298597778417175,0.0,0.0,110.5,127.91333333333333
